0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:58 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:58 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:59 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:17 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:17 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:17 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:18 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:18 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:27 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:38 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:41 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:43 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:46 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:04:01 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:04:02 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:04:02 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:04:02 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:05:41 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 4856
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:05:41 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:05:41 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:05:41 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:10:48 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:10:48 +0530] "GET /GenSeaTech/assets/internship.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:10:48 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:10:48 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:10:48 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:23 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:23 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:23 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:23 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:23 +0530] "GET /GenSeaTech/assets/internship.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/internship.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:26 +0530] "GET /GenSeaTech/assets/internship.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:40 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:40 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:40 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:40 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:40 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:41 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:41 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:41 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:41 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:41 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
