127.0.0.1 - - [13/Dec/2024:11:39:57 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:39:58 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:39:58 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:39:58 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:39:58 +0530] "GET /GenSeaTech/assets/namelogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:42:13 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:42:14 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:42:15 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:42:15 +0530] "GET /GenSeaTech/assets/project.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:42:15 +0530] "GET /GenSeaTech/assets/Internships3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:42:15 +0530] "GET /GenSeaTech/assets/Internships2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:42:15 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:43:12 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:43:14 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:43:23 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:43:26 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:17 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:17 +0530] "GET /GenSeaTech/assets/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:23 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:47 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:48 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:49 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:53 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:54 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:55 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:55 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:44:56 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:45:39 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:45:40 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [13/Dec/2024:11:46:16 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
